epoch,train_loss,lambda_sym,val_rmse_x,val_rmse_y,val_rmse_z,ood_rmse_x,ood_rmse_y,ood_rmse_z
1,16.80871339309483,0.1,0.31300095,0.36386755,0.23201151,6.934614,6.4047112,2.163064
2,0.08685895466269591,0.1,0.22453289,0.28582203,0.19692086,8.28043,6.177689,2.4466429
3,0.059041070083203986,0.1,0.22392765,0.22385214,0.18206485,8.164828,5.8263445,2.609548
4,0.047855933578923725,0.1,0.16152976,0.18271373,0.17186937,9.045185,6.386585,2.8406408
5,0.03975001369149257,0.1,0.15174384,0.16296291,0.16542645,9.416427,6.4584494,2.935886
6,0.03579346455920201,0.1,0.16150393,0.15342106,0.16132718,9.334535,6.5885463,3.0136855
7,0.03157821794350942,0.1,0.12357215,0.13907777,0.15759133,9.387561,6.2653255,3.0333643
8,0.027715829571183674,0.1,0.119971514,0.12579566,0.15320571,9.252432,6.4364414,3.0502105
9,0.026564538956452638,0.1,0.14109105,0.11451759,0.15151687,9.48483,6.457535,3.0976603
10,0.024011869365588214,0.1,0.117135026,0.1322966,0.15053938,9.108673,6.193947,3.1109328
11,0.02200673710411558,0.1,0.09930188,0.10114325,0.14733206,8.862292,6.2577906,3.0706828
12,0.019888725442190964,0.1,0.09877495,0.11945491,0.14571197,9.026783,6.239654,3.1626153
13,0.019111573869266953,0.1,0.10030364,0.08523312,0.14321092,8.740381,5.9594727,3.1363144
14,0.018475437035354283,0.1,0.08484189,0.094568074,0.14122204,8.699675,5.9836545,3.1835866
15,0.01735960947086987,0.1,0.07813728,0.14352049,0.14056587,8.549551,5.781858,3.207656
16,0.01645054316554123,0.1,0.11521687,0.17014422,0.13987029,8.729532,5.9735847,3.2191114
17,0.016623364462970924,0.1,0.08734908,0.10791396,0.141415,8.648664,6.0184474,3.2308033
18,0.015249393313215712,0.1,0.07105318,0.073398195,0.13641374,8.551086,6.073761,3.3056781
19,0.014965548556154737,0.1,0.1006317,0.08374848,0.13337581,8.438156,6.172395,3.2885349
20,0.013970549809388243,0.1,0.10940374,0.08433549,0.1308139,8.410983,6.1103954,3.2881753
21,0.013751304702451214,0.1,0.06730271,0.07004949,0.13016082,8.217322,6.0557795,3.2396352
22,0.01200700306500762,0.1,0.06210739,0.067267954,0.12844966,8.183819,6.099235,3.2381203
23,0.01187426358079299,0.1,0.05905641,0.0643206,0.12720393,8.064498,6.1035895,3.2275276
24,0.012369610387115525,0.1,0.05379812,0.06361284,0.12693682,7.9684033,6.07781,3.177215
25,0.012220787917239925,0.1,0.06403058,0.06326014,0.12522058,7.8136325,6.0323205,3.1830776
26,0.009962573754959382,0.1,0.052441336,0.060995776,0.12183706,7.641611,5.987848,3.111019
27,0.010132563521321386,0.1,0.05214644,0.07182156,0.122194305,7.5656314,6.0208287,3.1300929
28,0.009519556593985703,0.1,0.049191006,0.061257515,0.12041088,7.312312,5.7920403,3.0057273
29,0.009994693778049296,0.1,0.06971274,0.1040779,0.117348574,7.3203387,5.8298016,3.03898
30,0.012903218214304592,0.1,0.08335428,0.10535145,0.11856679,7.4072266,5.9997115,3.1683512
31,0.011277253647000553,0.096667,0.04677699,0.053129308,0.11561841,6.906341,5.6417885,2.920401
